名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
中铁立丰国际广场,14020,高新-西万路口 丈八东路与子午大道十字西南角,108.991095,34.241388,高新二期,二手房,2020,5
融创天朗珑府,18925,高新-西万路口 西部大道5509号,108.878574,34.167201,高新二期,二手房,2015,5
一品美道,23162,高新-高新一中 高新路60-乙号,108.895003,34.222975,高新一期,二手房,2015,5
中国铁建·西派樘樾,23453,高新-软件新城 丝路软件城 天谷二路与云水二路交汇处,108.994652,34.202811,软件新城,二手房,2025,5
中天花园,15247,高新-徐家庄 科技二路与高新路十字向东200米,108.899511,34.215975,高新一期,二手房,2005,5
中国铁建西派玺悦,22602,"高新-锦业路 星虹二路以西、隆盛路以东、兴昌一路以北,兴昌..",108.811505,34.125606,高新二期,二手房,,5
林隐天下别墅,20073,高新-锦业路 信息大道1号(博士路与西部大道十字向南200..,108.858776,34.162789,高新二期,二手房,2011,5
都市春天,15514,高新-科技路西口 唐兴路19号,108.867972,34.227341,高新一期,二手房,2014,4
高科尚都,16426,高新-锦业路 锦业路与丈八五路交汇处向北100米,108.859322,34.191018,高新二期,二手房,2014,4
高科花园二期,20839,高新-高新一中 唐兴路与高新四路十字西南角,108.887929,34.226365,高新一期,二手房,2000,4
君合天玺,11762,高新-鱼化寨 昆明路与富源二路十字交汇西南角,108.823938,34.243223,高新二期,二手房,,4
绿城春风心语-春风苑,16720,高新-软件园 科技四路与鱼化一路交汇处西北侧,108.858935,34.215292,软件新城,二手房,,4
绿港花园,13238,高新-软件园 高新6路43号,108.871278,34.212362,软件新城,二手房,2004,4
林凯花园,18873,高新-唐延路 高新一路南段128号,108.884980,34.211469,高新二期,二手房,2007,4
罗马景福城,16234,高新-锦业路 高新三中以东(丈八东路与丈八四路交汇处西北角..,108.861702,34.194002,高新二期,二手房,2016,4
美立方,9934,高新-科技路西口 西安市雁塔区丈八北路491号,108.867845,34.235772,高新一期,二手房,2010,4
曲江文商·檀境,20704,高新-大学城 未来之瞳北30米,108.822849,34.139245,高新三期,二手房,2024,4
尚品格蓝,21032,高新-高新一中 高新五路16号,108.885282,34.220742,高新二期,二手房,2005,4
唐延鑫苑,11228,高新-高新四路 唐延路北段63号,108.883981,34.234069,高新一期,二手房,2011,4
